title,genre,year,rating,votes,director,duration_min,country,box_office_million
Dunkirk,Fantasy,1980,8.4,1546465,Ryan Coogler,175,Germany,1433.42
Shang-Chi,Adventure,1990,8.4,1471506,Steven Spielberg,183,Spain,760.74
12 Years a Slave,Horror,1986,9.1,660635,Patty Jenkins,196,India,595.39
Big Hero 6,Sci-Fi,2008,7.2,2120329,Denis Villeneuve,157,Australia,675.54
Justice League,Thriller,1991,5.5,4345730,Quentin Tarantino,178,Germany,2373.01
Inside Out,Romance,1990,6.2,1537479,Tim Burton,155,South Korea,2145.62
The Suicide Squad,Fantasy,2001,7.9,77189,Martin Scorsese,97,France,1981.62
The Departed,Sci-Fi,2008,7.8,283331,Sam Raimi,159,Spain,1794.02
Dune,Drama,2023,5.1,2980585,Peter Jackson,139,Canada,261.11
Django Unchained,Fantasy,2017,6.5,3533185,Robert Zemeckis,185,France,2039.93
Twilight,Horror,1984,9.5,2387297,Zack Snyder,150,Japan,1397.71
Get Out,Thriller,1988,8.5,3350891,Denis Villeneuve,189,USA,152.45
12 Years a Slave,Fantasy,2023,7.5,3711801,Ridley Scott,93,Canada,1679.96
Avatar,Adventure,1989,5,989837,Sam Raimi,82,Japan,1099.83
Deadpool,Animation,2003,6,1755095,Zack Snyder,100,UK,2222.02
The Revenant,Thriller,1997,6.3,1627019,James Cameron,93,South Korea,1295.67
Gladiator,Sci-Fi,1986,5.5,4558448,Patty Jenkins,181,USA,1244.77
Zootopia,Fantasy,1982,7.8,3283735,Robert Zemeckis,97,Canada,1143.72
Interstellar,Adventure,1985,7,4652439,James Cameron,204,Japan,2781.07
Us,Thriller,2002,9.7,655121,Patty Jenkins,115,USA,1297.2
Moana,Action,2013,8,1757255,Ryan Coogler,90,Australia,1217.7
Shrek,Romance,2001,9.3,389160,Sam Raimi,198,Canada,529.29
Parasite,Animation,1992,9,3288963,Denis Villeneuve,130,Germany,2428.43
La La Land,Adventure,2005,6.4,3305483,Quentin Tarantino,172,Germany,2250.22
Aquaman 2,Drama,1991,7.4,2449596,Greta Gerwig,97,Spain,2642.56
Inside Out,Drama,1989,7.3,703385,Denis Villeneuve,106,Australia,2056.08
Shrek,Romance,1989,6.8,2299325,Sam Raimi,145,UK,313.46
The Ring,Adventure,2013,6.5,4065162,Steven Spielberg,171,France,1008.19
The Hunger Games,Romance,2008,9.7,783079,Quentin Tarantino,209,India,509.24
Barbie,Sci-Fi,1988,4.9,1597691,Sam Raimi,84,Canada,2009.54
Luca,Horror,2004,7.7,1983113,Christopher Nolan,90,Australia,2680.63
Superman,Animation,2005,6.5,3238225,Greta Gerwig,132,Japan,421.26
La La Land,Sci-Fi,1999,6.7,4179916,James Cameron,101,South Korea,2367.62
The Prestige,Thriller,2013,8.6,4942400,Zack Snyder,107,South Korea,2476.64
Wonder Woman,Horror,2016,8.9,1099041,Ryan Coogler,166,India,1369.61
Birdman,Fantasy,1996,7.5,4560575,Robert Zemeckis,165,South Korea,1797.93
Thor: Love and Thunder,Animation,2010,7.1,382756,Greta Gerwig,121,USA,406.41
Thor: Love and Thunder,Comedy,1981,8,3728935,Robert Zemeckis,167,Canada,1274.95
Inside Out,Fantasy,1983,9.1,1633227,Patty Jenkins,115,France,981.98
Avatar,Thriller,1994,8.5,3747918,James Cameron,131,South Korea,915.55
Eternals,Sci-Fi,2019,8.1,3146059,Ridley Scott,119,USA,1595.23
Soul,Animation,2003,6.2,3557197,Ridley Scott,210,India,1283.81
The Shawshank Redemption,Sci-Fi,2020,9.3,204557,Greta Gerwig,93,India,2197.36
Parasite,Adventure,1986,9.1,4768681,Ridley Scott,81,Japan,713.87
Barbie,Drama,1987,9.6,3192149,Sam Raimi,183,France,2040.48
Mad Max: Fury Road,Adventure,1996,5.7,3248619,James Cameron,98,Australia,740.76
Joker,Thriller,2003,4.7,3841126,Quentin Tarantino,181,USA,820.84
Finding Nemo,Romance,2015,9,4614378,Ridley Scott,210,Spain,641.9
Doctor Strange: Multiverse of Madness,Thriller,2000,6.8,254076,Ryan Coogler,172,Australia,2668.57
Divergent,Drama,1997,8.3,2549229,Denis Villeneuve,82,Canada,966.28
Superman,Romance,2005,7.7,3142284,Sam Raimi,139,South Korea,2729.4
The Matrix,Romance,1999,6.6,213342,Denis Villeneuve,207,South Korea,490.68
Big Hero 6,Drama,2023,8,3573004,Denis Villeneuve,204,Canada,1654.56
Finding Nemo,Animation,2009,7.2,872298,Greta Gerwig,100,USA,322.69
Oppenheimer,Horror,2002,5.8,4552338,Sam Raimi,104,USA,258.98
The Social Network,Animation,1995,9.4,2872826,James Cameron,122,France,1595.3
Frozen II,Romance,1999,6.4,710475,Peter Jackson,184,South Korea,2362.27
Guardians of the Galaxy,Horror,2022,9.6,3775745,Peter Jackson,104,Canada,631.81
The Suicide Squad,Sci-Fi,2002,5,565157,Sam Raimi,106,Canada,2577.63
Oppenheimer,Romance,2006,4.8,1915919,Zack Snyder,169,UK,428.17
The Wolf of Wall Street,Adventure,1989,7.7,4261959,Tim Burton,108,India,304.71
Coco,Horror,2017,7.6,2258733,Christopher Nolan,190,India,368.04
Schindler's List,Adventure,1988,5.1,4015912,Tim Burton,139,South Korea,2653.33
Kung Fu Panda,Romance,1992,6.8,4588644,Tim Burton,167,USA,2673.84
Saving Private Ryan,Thriller,2014,9.1,3857277,Quentin Tarantino,201,France,1913.88
The Matrix,Fantasy,1996,6.4,1564970,Steven Spielberg,188,Canada,1783.85
Superman,Animation,2000,6.7,3414207,James Cameron,177,Spain,1294.1
Shrek,Sci-Fi,1982,8.9,269045,Christopher Nolan,155,India,2373.16
Inglourious Basterds,Romance,1996,9.7,58332,Denis Villeneuve,87,France,2394.84
The Lion King,Romance,1982,9.4,4304462,Quentin Tarantino,169,USA,2026.43
Coco,Comedy,1985,6,4569460,Greta Gerwig,111,USA,757.21
12 Years a Slave,Comedy,2000,8,944007,Ridley Scott,142,Germany,2623.8
It Chapter Two,Adventure,1998,6.3,1374937,Christopher Nolan,84,Canada,691.33
Thor: Love and Thunder,Fantasy,1984,9.2,1163382,Martin Scorsese,141,Australia,1871.38
Ratatouille,Fantasy,2012,7.8,1586339,Tim Burton,104,UK,802.09
12 Years a Slave,Animation,1999,6.1,2028687,Martin Scorsese,105,Australia,388.21
"Monsters, Inc.",Horror,2020,6.2,901347,Denis Villeneuve,183,Spain,2669.93
Encanto,Sci-Fi,1993,6.6,4046519,Sam Raimi,116,Germany,765.18
Pulp Fiction,Comedy,2002,5.1,2084341,Quentin Tarantino,105,Australia,2272.06
Schindler's List,Thriller,2017,7.6,4707867,Christopher Nolan,178,Australia,2282.27
The Flash,Action,1999,4.6,4104894,Steven Spielberg,90,Canada,836.55
The Prestige,Fantasy,1983,8.4,4565086,Ridley Scott,105,UK,746.34
Django Unchained,Horror,2014,5.3,568871,Zack Snyder,197,Australia,202.66
The Social Network,Horror,1995,7.6,1591267,Ridley Scott,136,UK,487.78
Wall-E,Animation,2003,8.9,4448531,Martin Scorsese,83,South Korea,2469.15
The Incredibles,Comedy,2000,5.9,496502,Ryan Coogler,188,France,644.43
Barbie,Thriller,2006,5.8,2947979,Greta Gerwig,138,Canada,2621.66
Gladiator,Action,2023,5.6,909215,Sam Raimi,110,Germany,1657.77
Justice League,Horror,1983,6.6,20580,Denis Villeneuve,148,USA,798.92
Shutter Island,Comedy,1992,7.9,2614666,Ryan Coogler,196,India,2662.31
Shrek,Animation,2003,9.3,4349428,Patty Jenkins,174,South Korea,1303.19
Avengers: Endgame,Romance,1992,5.7,4185016,Denis Villeneuve,155,Spain,310.03
The Flash,Comedy,1991,8.4,1767785,Sam Raimi,81,Germany,1784.14
Iron Man,Drama,2003,9.4,1734374,Peter Jackson,208,Germany,117.9
The Matrix,Sci-Fi,2006,8.6,4167643,Ridley Scott,92,UK,696.8
Doctor Strange: Multiverse of Madness,Drama,1987,9.7,1092700,Tim Burton,92,South Korea,2145.28
Venom,Adventure,2022,5.3,3748193,James Cameron,132,Spain,2021.63
Blue Beetle,Adventure,2014,5.6,3833664,Patty Jenkins,162,Australia,86.87
X-Men: Days of Future Past,Sci-Fi,1991,8.7,220257,Quentin Tarantino,177,South Korea,228.62
The Exorcist,Comedy,2013,5.8,4269697,Tim Burton,147,France,1965.83
The Godfather,Horror,1994,6,2775643,James Cameron,130,UK,52.4
The Hunger Games,Animation,1985,6.3,4990801,Peter Jackson,193,Canada,2259.28
Interstellar,Action,1993,5.2,4485143,Martin Scorsese,157,South Korea,1364.46
The Hunger Games,Comedy,2008,6.1,590064,James Cameron,161,France,2199.51
Catch Me If You Can,Fantasy,1986,6.5,1645882,Christopher Nolan,177,France,1036.89
Titanic,Fantasy,1981,6.4,4451203,Robert Zemeckis,177,Spain,1993.36
Ant-Man,Adventure,2010,6.5,1981670,Christopher Nolan,101,Japan,97.79
Arrival,Adventure,2003,5.2,2761700,Ryan Coogler,162,Canada,257.72
The Revenant,Comedy,1997,5.6,2368267,Sam Raimi,207,Japan,1887.15
Wonder Woman,Horror,1985,5.5,531949,Martin Scorsese,92,Australia,2775.75
Pulp Fiction,Comedy,1992,8.8,197306,Steven Spielberg,201,France,2789.07
The Ring,Sci-Fi,1986,8.3,1339094,Greta Gerwig,103,Australia,1148.6
Catch Me If You Can,Drama,1986,9.8,1687437,Greta Gerwig,83,India,664.66
Birdman,Thriller,2014,6.2,2108129,Robert Zemeckis,91,South Korea,1007.4
Birdman,Sci-Fi,2023,5.8,946035,Denis Villeneuve,201,Germany,1942.24
Insidious,Animation,2015,6.2,775557,Martin Scorsese,139,South Korea,1540.94
The Irishman,Romance,1980,5,1931993,Denis Villeneuve,193,South Korea,703.72
Guardians of the Galaxy,Adventure,2020,6.7,2884255,James Cameron,205,USA,1426.78
X-Men: Days of Future Past,Thriller,1980,9.3,3790807,Steven Spielberg,90,India,2293.44
Zootopia,Romance,2007,5.3,872796,Zack Snyder,109,Germany,930.64
The Incredibles,Horror,2013,8.2,485830,Greta Gerwig,97,Spain,385.85
Moana,Drama,1991,5.7,3372832,Zack Snyder,119,Japan,1124.85
Maze Runner,Horror,2007,6,1711803,Robert Zemeckis,156,UK,2612.91
Mad Max: Fury Road,Fantasy,2004,7.7,1244904,Quentin Tarantino,114,Australia,1267.91
Toy Story,Drama,1990,8.7,4204085,Denis Villeneuve,124,Australia,1213.89
A Quiet Place,Sci-Fi,1991,8.3,2566945,Greta Gerwig,156,South Korea,2065.18
Doctor Strange: Multiverse of Madness,Drama,2020,8.9,1716855,Christopher Nolan,190,Germany,1081.33
Goodfellas,Comedy,2002,5.5,3067118,Greta Gerwig,194,Spain,1147.24
Frozen,Romance,2004,8.1,1248897,Steven Spielberg,210,Germany,1766.71
Inception,Action,2022,6.5,292420,Steven Spielberg,162,USA,971.04
Black Panther,Romance,2014,7.6,4261379,Steven Spielberg,175,Japan,2066.08
Superman,Horror,1990,9.3,711707,Peter Jackson,129,Australia,1733.41
The Wolf of Wall Street,Romance,2011,8.7,824741,Greta Gerwig,165,Japan,264.8
The Suicide Squad,Sci-Fi,1995,8.8,1147763,Steven Spielberg,129,Japan,1955.26
The Dark Knight,Action,2022,9.6,1607101,Ridley Scott,194,France,1205.77
Maze Runner,Drama,1985,9.3,1864088,Quentin Tarantino,181,UK,1061.22
Gladiator,Horror,1997,9.7,2221785,Quentin Tarantino,199,South Korea,2649.99
Ant-Man,Adventure,2018,6.1,3424463,Robert Zemeckis,185,Spain,1648.1
Gladiator,Thriller,2022,5.7,2616505,Christopher Nolan,87,Germany,1960.87
Moana,Thriller,1981,6.2,137531,Peter Jackson,179,Australia,2271.83
The Exorcist,Romance,1986,7.9,1673417,Denis Villeneuve,97,Germany,1338.21
Dunkirk,Romance,1989,7,2508760,Peter Jackson,126,India,2159.66
Birdman,Action,2008,8,130927,Robert Zemeckis,161,Australia,2178.75
Inception,Adventure,2009,9.6,309521,Peter Jackson,103,Spain,2169.21
Eternals,Sci-Fi,1988,6.7,546381,Tim Burton,195,Australia,6.9
Insidious,Horror,1980,8.2,3589393,Patty Jenkins,136,Spain,2707.82
Twilight,Adventure,2016,9.6,1246173,Martin Scorsese,105,USA,987.21
Dune,Comedy,1990,6.2,375243,Peter Jackson,164,Japan,339.89
Inside Out,Horror,2018,5.6,2317714,Ridley Scott,93,Australia,1230.16
Doctor Strange,Comedy,2006,6.2,3209128,Robert Zemeckis,137,Canada,194.71
Insidious,Fantasy,1990,8.6,1256555,Peter Jackson,203,Australia,512.16
Whiplash,Sci-Fi,1981,8.8,2659601,Martin Scorsese,110,Canada,14.19
Interstellar,Action,2018,7.7,2722259,Denis Villeneuve,164,Germany,1427.55
The Social Network,Sci-Fi,2006,9.1,1327632,Peter Jackson,121,Canada,2015.84
Luca,Action,1988,8.3,3238917,Denis Villeneuve,175,Germany,1662.58
Iron Man,Comedy,2000,5.9,4031006,Martin Scorsese,161,Germany,2005.39
Thor: Ragnarok,Sci-Fi,2023,5.8,2036746,Quentin Tarantino,172,UK,1833.64
Tenet,Action,2021,6.9,2384079,Greta Gerwig,144,South Korea,294.7
Parasite,Romance,1995,7.1,764027,Peter Jackson,97,India,1097.36
Deadpool,Horror,2008,9.6,4968313,Denis Villeneuve,190,South Korea,1877.22
The Incredibles,Action,1999,5.4,2139632,Tim Burton,173,USA,1547.59
Thor: Love and Thunder,Comedy,1983,6.5,1386785,Ryan Coogler,144,UK,1006.55
Maze Runner,Action,1987,6.8,2947438,Robert Zemeckis,150,France,62.44
Catch Me If You Can,Horror,2009,5.2,269776,Greta Gerwig,132,UK,1809.05
Shang-Chi,Thriller,2019,5.2,3684158,Greta Gerwig,182,Australia,2779.65
Superman,Sci-Fi,1985,5.1,1108142,Robert Zemeckis,175,Japan,606.96
A Quiet Place,Animation,2002,6.1,3082110,Christopher Nolan,195,South Korea,1604.24
The Batman,Horror,2010,9.5,4439097,Christopher Nolan,117,USA,2537.8
Inception,Sci-Fi,1983,4.7,2681663,Ridley Scott,157,France,451.65
Twilight,Animation,1988,6.2,2780158,Ridley Scott,171,Australia,2498.69
Coco,Horror,2012,5.1,2896301,Zack Snyder,124,India,880.08
The Exorcist,Adventure,2018,7.4,3190872,Robert Zemeckis,96,India,1150.76
The Incredibles,Romance,2008,9.1,203480,Sam Raimi,169,Australia,693.31
Justice League,Drama,2020,9,3022107,Greta Gerwig,142,Japan,1059.75
Blue Beetle,Animation,1980,5.1,2830964,Robert Zemeckis,203,Australia,2778.1
Logan,Thriller,2011,5.3,657329,Zack Snyder,103,Japan,2275.04
Frozen II,Romance,1986,7.2,1041140,Denis Villeneuve,190,Japan,2356.29
Parasite,Drama,2001,5.5,4145894,Ryan Coogler,83,Australia,1712.69
Aquaman 2,Drama,2000,5.5,846031,Patty Jenkins,178,Japan,1266.55
The Godfather,Animation,2018,6.4,2540334,Ryan Coogler,96,UK,2614.92
Ratatouille,Fantasy,1994,9,1599134,Denis Villeneuve,101,USA,1933.28
Ratatouille,Horror,2017,4.6,2411500,Ryan Coogler,104,Spain,648.43
Frozen,Animation,1983,9.2,1144843,Denis Villeneuve,84,India,1507.4
The Dark Knight,Animation,1990,4.9,3133125,Denis Villeneuve,123,Spain,2349.14
Divergent,Sci-Fi,2013,6.3,2850830,Steven Spielberg,194,South Korea,1593.05
Justice League,Thriller,2011,8,2659689,Quentin Tarantino,206,Spain,1278.07
The Prestige,Comedy,2009,8.5,2548163,Quentin Tarantino,131,UK,2303.26
Zootopia,Fantasy,1995,5.7,3823317,James Cameron,180,Japan,1003.49
The Irishman,Adventure,2021,5.8,1317866,Denis Villeneuve,86,South Korea,2443.57
Schindler's List,Romance,2007,8.2,4845256,Patty Jenkins,164,Canada,1685.52
Joker,Comedy,2001,6.8,2860603,Ryan Coogler,106,Canada,2277.45
Guardians of the Galaxy,Horror,2021,8.1,3048406,Tim Burton,140,Japan,764.9
Thor: Love and Thunder,Sci-Fi,1987,8.2,3686797,Robert Zemeckis,165,Canada,1737.11
It,Fantasy,1990,8.5,93213,Denis Villeneuve,146,Spain,1312.4
Guardians of the Galaxy,Fantasy,1984,9,109773,Ridley Scott,158,South Korea,1910.61
Superman,Comedy,2007,6.2,164780,Denis Villeneuve,106,UK,1382.89
Shang-Chi,Drama,2013,8.5,3253626,Quentin Tarantino,135,South Korea,1946.67
Twilight,Horror,2022,8.2,1145223,Robert Zemeckis,152,USA,2654.36
Inglourious Basterds,Sci-Fi,1996,5.5,351553,James Cameron,199,UK,2238.28
Joker,Comedy,1996,4.6,1450317,Greta Gerwig,95,Australia,1501.58
The Conjuring,Comedy,2014,6.3,3434918,Martin Scorsese,124,Australia,565.59
Schindler's List,Action,2012,9.3,3329601,Zack Snyder,138,UK,1710.09
Birdman,Romance,2011,9.6,3834895,Zack Snyder,147,USA,2250.98
Django Unchained,Fantasy,2008,9.5,1621751,Christopher Nolan,197,India,124.23
The Batman,Adventure,2003,7.2,86710,Denis Villeneuve,159,Canada,2153.41
Shutter Island,Romance,2012,7,2136377,Steven Spielberg,100,Spain,2287.69
X-Men: Days of Future Past,Sci-Fi,1986,8.8,3543231,Robert Zemeckis,192,Australia,663.16
Hereditary,Horror,2002,9.1,1863327,Robert Zemeckis,188,South Korea,1083.93
Insidious,Sci-Fi,2018,7,1096117,Denis Villeneuve,189,Australia,1653.77
Guardians of the Galaxy,Drama,2022,5,172848,Denis Villeneuve,135,India,812.52
Finding Nemo,Sci-Fi,2007,7.4,2606754,Patty Jenkins,154,Spain,789.66
Titanic,Sci-Fi,1992,6.2,194101,Greta Gerwig,159,South Korea,575.07
Avengers: Endgame,Adventure,2000,7.6,2048429,Steven Spielberg,184,Spain,1516.34
Whiplash,Thriller,2014,8.4,2124447,Ridley Scott,101,Japan,1877.45
It Chapter Two,Action,2016,8.7,3305151,Martin Scorsese,176,France,667.85
Barbie,Sci-Fi,2004,8.8,4650904,Ryan Coogler,130,South Korea,2075.64
Finding Nemo,Action,2016,6.7,3532435,Robert Zemeckis,88,Japan,1617.33
Shrek,Drama,1999,9.4,1852274,Denis Villeneuve,208,USA,448.9
Insidious,Action,2001,6.2,3809825,Martin Scorsese,175,France,2306.13
Wonder Woman,Animation,2011,6.1,3400454,James Cameron,182,Canada,211
The Conjuring,Animation,1987,6.8,3447842,Greta Gerwig,205,Canada,1760.91
It Chapter Two,Fantasy,2019,8.6,2596180,Greta Gerwig,100,USA,3.69
X-Men: Days of Future Past,Horror,2008,4.5,1816269,James Cameron,89,Canada,2339.74
Avengers: Endgame,Adventure,2019,9.3,689997,Greta Gerwig,193,India,792.2
It Chapter Two,Romance,1990,7.9,4302218,Ridley Scott,172,Australia,2469.93
Big Hero 6,Horror,2017,9.2,2163015,Steven Spielberg,192,France,510.88
Us,Romance,1990,5.2,2052626,Peter Jackson,137,Spain,2343.39
The Exorcist,Romance,2018,5.7,1908058,Martin Scorsese,191,Canada,431.57
The Suicide Squad,Sci-Fi,1990,6.6,896727,Quentin Tarantino,96,South Korea,284.86
It Chapter Two,Action,1999,4.9,2302810,Martin Scorsese,132,Germany,2611.05
Catch Me If You Can,Horror,2014,5.9,802283,Greta Gerwig,169,USA,2112.48
Avatar,Animation,1990,6.7,2946057,Greta Gerwig,113,UK,2747.23
The Godfather,Animation,2002,7.9,4347398,Peter Jackson,199,Spain,1949.57
Moana,Action,2008,6.6,4682736,Greta Gerwig,125,India,1753.63
Goodfellas,Action,2006,7.2,1863987,James Cameron,148,UK,538.53
The Suicide Squad,Comedy,2013,8.8,4908711,Ridley Scott,100,South Korea,1333.98
Whiplash,Romance,1991,7,86565,Martin Scorsese,84,France,639.72
Schindler's List,Comedy,1986,6.6,4130945,Robert Zemeckis,152,UK,1743.47
The Conjuring,Adventure,2016,8.8,1384054,James Cameron,172,Spain,1470.37
Eternals,Fantasy,2020,7.3,2263735,Sam Raimi,142,UK,513.92
Thor: Ragnarok,Comedy,1997,4.5,1940822,Sam Raimi,90,UK,1319.81
Venom,Romance,1986,5.6,2996743,Zack Snyder,91,UK,498.51
Black Panther,Thriller,2000,5.2,320577,Zack Snyder,107,Spain,1107.44
Tenet,Adventure,1990,8.4,2793076,Greta Gerwig,144,UK,337.37
Whiplash,Animation,2015,4.7,4608110,Sam Raimi,153,Japan,732.96
The Irishman,Horror,1985,4.6,3785688,Christopher Nolan,105,UK,706.64
12 Years a Slave,Horror,2008,8.8,4612884,Greta Gerwig,133,USA,2097.07
Doctor Strange: Multiverse of Madness,Animation,1994,9.4,2512476,Steven Spielberg,120,Spain,720.46
Barbie,Comedy,2020,5.7,111658,Quentin Tarantino,97,USA,2306.16
The Prestige,Thriller,2009,9.4,505219,Tim Burton,81,Australia,228.49
Wall-E,Thriller,1993,6.5,1731088,Ryan Coogler,153,USA,187.08
Inglourious Basterds,Fantasy,1980,7.5,2998115,Peter Jackson,164,Japan,2449.27
Soul,Adventure,1998,9,4285481,Peter Jackson,130,USA,2227.97
The Dark Knight,Animation,2011,4.6,3331291,Steven Spielberg,132,Canada,2110.91
Kung Fu Panda,Romance,2007,9.2,638993,Tim Burton,156,USA,1208.15
Interstellar,Drama,1996,6.7,3035887,Patty Jenkins,87,South Korea,1734.88
Aquaman,Sci-Fi,1986,8.4,699034,Quentin Tarantino,189,Germany,395.55
Goodfellas,Horror,2013,6.3,4364763,Tim Burton,146,India,1969.73
Moana,Comedy,2014,7.4,1233870,Greta Gerwig,111,France,1113.08
Catch Me If You Can,Action,1994,8.5,4891245,Ridley Scott,94,Germany,2102.84
The Dark Knight,Drama,1995,6.5,3761651,Peter Jackson,171,France,2624.8
The Exorcist,Horror,1993,9.4,1717703,Martin Scorsese,113,Australia,2308.82
Black Panther,Romance,2013,6,689381,Steven Spielberg,138,France,65.06
Django Unchained,Comedy,2007,5.8,3934483,Zack Snyder,121,UK,2572.74
Inception,Sci-Fi,2016,6.9,2475425,Peter Jackson,181,Australia,1577.58
Spider-Man: No Way Home,Action,2005,6.5,2739729,Patty Jenkins,154,Australia,1631.08
The Social Network,Drama,1986,7.2,1344457,Sam Raimi,194,Spain,2346.97
Tenet,Fantasy,2002,5.6,1232478,James Cameron,98,India,597.66
Us,Romance,2000,8.3,37136,Ryan Coogler,157,USA,2.27
Wall-E,Adventure,1982,5.4,1579790,Denis Villeneuve,181,India,2372.48
Captain America: Civil War,Fantasy,1994,9.8,1328628,Ryan Coogler,160,South Korea,2602.6
The Irishman,Romance,2022,5,1282545,James Cameron,199,South Korea,2012.35
Avengers: Endgame,Horror,1990,8,878599,James Cameron,90,Germany,1192.95
Mad Max: Fury Road,Horror,2015,5.1,992597,Peter Jackson,175,Japan,14.4
Superman,Romance,2004,9.1,1302008,Peter Jackson,99,Japan,309.58
Up,Drama,2021,7.5,3161205,Denis Villeneuve,206,South Korea,2188.31
Django Unchained,Sci-Fi,1986,6.8,1159645,Ridley Scott,103,UK,546.64
The Irishman,Romance,2018,7.6,4473972,Robert Zemeckis,182,USA,1737.12
Forrest Gump,Romance,2020,7.9,3660503,Christopher Nolan,134,France,2683.69
Moana,Action,1987,5,2288717,Peter Jackson,83,USA,2039.55
Inception,Thriller,2007,6.9,2595751,Sam Raimi,185,Spain,713.99
Spider-Man: No Way Home,Romance,2001,4.6,1930150,Peter Jackson,167,Germany,2586.59
Saving Private Ryan,Comedy,2010,6.6,3278418,Steven Spielberg,185,UK,894.66
The Flash,Drama,2008,6.5,4056464,Steven Spielberg,147,UK,1219.37
Ratatouille,Romance,2018,7.1,890211,Tim Burton,131,USA,1996.2
Man of Steel,Romance,1990,7.4,1402123,Ridley Scott,195,Spain,1416.56
A Quiet Place,Action,2000,7.4,2567167,Greta Gerwig,83,Canada,1175.57
Dunkirk,Animation,2019,8.7,3079636,Tim Burton,87,Japan,1239.86
Finding Nemo,Thriller,2018,8.5,3779054,Sam Raimi,183,India,252.7
Hereditary,Romance,1994,7,3261443,Quentin Tarantino,192,UK,1843.67
Kung Fu Panda,Thriller,1992,7.6,4024211,Peter Jackson,104,Germany,710.16
Venom,Fantasy,2011,5.7,1144220,Christopher Nolan,107,Spain,409.56
The Irishman,Fantasy,2023,8.3,3940305,Patty Jenkins,92,Spain,2340.35
Deadpool,Fantasy,2016,8.5,2378660,Steven Spielberg,178,France,1725.18
Up,Drama,2004,5.2,3237559,Steven Spielberg,185,Germany,2407.78
Catch Me If You Can,Comedy,2014,8,959363,Robert Zemeckis,94,South Korea,1709.63
Black Panther,Adventure,2016,7.1,3714730,Sam Raimi,162,Japan,2431.58
X-Men: Days of Future Past,Horror,2010,5.6,4177321,Ryan Coogler,117,South Korea,660.34
The Ring,Drama,2011,5.7,3664586,Greta Gerwig,195,Australia,588.03
Blade Runner 2049,Horror,2008,9.1,48424,Greta Gerwig,126,Japan,2226.22
Eternals,Sci-Fi,1994,8.9,4796882,Tim Burton,199,Spain,2488.22
The Social Network,Action,2016,5,2404495,Quentin Tarantino,143,India,824.89
Avatar,Action,2001,8.6,2582953,Steven Spielberg,117,South Korea,195.38
The Wolf of Wall Street,Thriller,2004,5.1,4041452,Christopher Nolan,88,Australia,1067.92
Doctor Strange: Multiverse of Madness,Drama,2001,8.2,229625,Ryan Coogler,130,Australia,2442.39
Gladiator,Romance,1994,5.5,4479514,Ryan Coogler,111,Germany,2188.82
"Monsters, Inc.",Horror,1995,9.3,2247239,Patty Jenkins,166,Australia,2360.77
Catch Me If You Can,Horror,2007,5,1627539,James Cameron,169,USA,225.31
Titanic,Comedy,1999,5.6,4581345,Zack Snyder,116,South Korea,801.37
Logan,Fantasy,1997,9.1,590017,Quentin Tarantino,85,Germany,1616.4
Us,Drama,2021,6.4,4569604,Sam Raimi,122,Canada,652.84
Blue Beetle,Horror,2023,4.6,504666,Peter Jackson,199,Australia,1379.12
Titanic,Comedy,2007,5.8,2190777,Patty Jenkins,132,Germany,1622.1
Twilight,Adventure,2019,7.5,2998600,Peter Jackson,200,India,1665.01
Dune,Thriller,2017,7.9,136993,Martin Scorsese,82,Japan,639.59
Divergent,Horror,1983,8.4,232604,Patty Jenkins,146,South Korea,496.89
Ratatouille,Horror,2006,8.4,1640093,Ryan Coogler,177,South Korea,910.17
Memento,Romance,2010,7.7,4448758,Christopher Nolan,127,Spain,2051.91
Luca,Romance,1989,6.5,2237441,Ryan Coogler,162,South Korea,682.39
The Revenant,Comedy,2017,7.4,4993487,Steven Spielberg,140,Germany,802.53
The Departed,Thriller,2003,7.8,4889362,Tim Burton,117,Japan,2580.08
Encanto,Comedy,1999,4.9,3109691,Greta Gerwig,126,Australia,920.3
Up,Drama,2008,7.7,1839586,Christopher Nolan,210,USA,264.01
The Godfather,Adventure,2016,9.4,165069,Martin Scorsese,166,South Korea,985.22
The Departed,Horror,2007,9.1,3487665,Patty Jenkins,178,Germany,1474.17
Goodfellas,Romance,1987,7.7,1213764,James Cameron,120,Canada,1960.63
Titanic,Romance,2000,5.4,4454113,Sam Raimi,147,Canada,1924.36
Interstellar,Sci-Fi,1998,9.2,3937542,Robert Zemeckis,196,France,2381.6
Venom,Comedy,2004,5.4,3942430,Christopher Nolan,196,UK,1288.96
Goodfellas,Romance,1990,8.4,2439466,Ryan Coogler,171,Germany,1346.16
Spider-Man: No Way Home,Thriller,1992,8.8,3040862,Ridley Scott,182,Germany,549.45
The Social Network,Thriller,2016,8.5,4280358,Greta Gerwig,131,Germany,1842.23
Joker,Drama,2006,6,4523252,Robert Zemeckis,84,South Korea,248
Dune,Animation,2010,8.8,3383749,Quentin Tarantino,210,South Korea,1044.38
Black Panther,Drama,2006,6.5,30336,Steven Spielberg,126,USA,1999.67
Barbie,Fantasy,2013,7.9,4758399,Greta Gerwig,126,UK,2335.7
Aquaman,Sci-Fi,2020,8.9,2294062,Sam Raimi,201,Canada,2543.29
Coco,Horror,2004,7.7,1774876,Ryan Coogler,196,UK,1182.66
Arrival,Animation,2009,7.6,3444274,Quentin Tarantino,130,Japan,331.84
